fid,Nr_ID_JRG,Nazwa_jednostki,Nazwa_komendy_P-M,Nazwa_komendy_KW,Populacja,Liczba_SOR_w_OCH,l_karetek_p,l_karetek_s,l_wyjazdow_PRM,l_obs_pacjetnow_PRM,Liczba_strazakow_na_zm,liczba_zdarzen,liczba_rat_PRM,Liczba_pojazdow,pow_ob_ch,pow_ob_ch_km_kw,Liczba_dyspozytorni,Priorytet_KW,Wojewodztwo,Powiat,ID_JRG_PRIO,Long,Lat
130,1301003,JRG nr 3 Kielce,KM PSP Kielce,KW PSP Kielce,99397,3,2,0,5922,3828,8,775,1,12,341555464,342,2,0,ŚWIĘTOKRZYSKIE,Kielce,1301003,20.59964444,50.87503333
131,1304001,JRG Jędrzejów,KP PSP Jędrzejów,KW PSP Kielce,77643,2,3,0,6445,3305,11,952,2,17,1183332017,1184,2,4,ŚWIĘTOKRZYSKIE,jędrzejowski,1304001,20.28504167,50.64886667
132,1302001,JRG nr 4 Chmielnik,KM PSP Kielce,KW PSP Kielce,31612,2,0,0,0,0,7,296,0,11,597693274,598,0,0,ŚWIĘTOKRZYSKIE,kielecki,1302001,20.76183611,50.61381111
133,1313001,JRG Staszów,KP PSP Staszów,KW PSP Kielce,74439,2,3,1,7587,3646,8,677,1,25,1093630972,1094,3,9,ŚWIĘTOKRZYSKIE,staszowski,1313001,21.16361111,50.56222222
134,1308002,JRG nr 2 Ostrowiec Świętokrzyski,KP PSP Ostrowiec Świętokrzyski,KW PSP Kielce,39589,0,1,0,2303,1426,10,514,2,8,391897867,392,1,0,ŚWIĘTOKRZYSKIE,ostrowiecki,1308002,21.36698889,50.92782222
135,1309001,JRG Pińczów,KP PSP Pińczów,KW PSP Kielce,35110,2,1,1,3696,2134,7,547,0,13,602929606,603,1,12,ŚWIĘTOKRZYSKIE,pińczowski,1309001,20.52180833,50.52830833
136,1303001,JRG Busko Zdrój,KP PSP Busko Zdrój,KW PSP Kielce,58539,1,3,0,6405,4070,9,860,2,28,779288346,780,2,3,ŚWIĘTOKRZYSKIE,buski,1303001,20.70351667,50.45948889
137,1307001,JRG Opatów,KP PSP Opatów,KW PSP Kielce,47940,1,3,0,4736,2780,7,559,2,17,813993698,814,2,11,ŚWIĘTOKRZYSKIE,opatowski,1307001,21.41702222,50.80901667
138,1308001,JRG nr 1 Ostrowiec Świętokrzyski,KP PSP Ostrowiec Świętokrzyski,KW PSP Kielce,63131,3,5,1,13067,8385,9,706,1,15,257924232,258,1,2,ŚWIĘTOKRZYSKIE,ostrowiecki,1308001,21.39255833,50.94341111
139,1314001,JRG Włoszczowa,KP PSP Włoszczowa,KW PSP Kielce,54571,2,3,1,7032,4499,7,684,2,18,1191050069,1192,3,10,ŚWIĘTOKRZYSKIE,włoszczowski,1314001,19.9598,50.85463056
140,1310001,JRG Sandomierz,KP PSP Sandomierz,KW PSP Kielce,78608,2,2,1,6507,3753,10,744,1,8,702633170,703,2,8,ŚWIĘTOKRZYSKIE,sandomierski,1310001,21.725425,50.68958056
141,1312001,JRG Starachowice,KP PSP Starachowice,KW PSP Kielce,101257,3,2,2,9951,5806,13,1014,1,25,771363342,772,2,6,ŚWIĘTOKRZYSKIE,starachowicki,1312001,21.07398333,51.05301389
142,0603001,JRG Bochnia,KP PSP Bochnia,KW PSP Kraków,114586,2,5,0,6612,3889,9,927,2,6,692996674,693,4,0,MAŁOPOLSKIE,bocheński,0603001,20.43791667,49.97599722
143,0605001,JRG Chrzanów,KP PSP Chrzanów,KW PSP Kraków,122847,1,3,0,6291,2873,13,1766,3,15,394604794,395,3,0,MAŁOPOLSKIE,chrzanowski,0605001,19.39915833,50.14591944
144,0606001,JRG Dąbrowa Tarnowska,KP PSP Dąbrowa Tarnowska,KW PSP Kraków,67316,1,3,0,4529,2602,7,861,0,8,653309865,654,3,0,MAŁOPOLSKIE,dąbrowski,0606001,20.97770556,50.16588889
145,0607001,JRG Gorlice,KP PSP Gorlice,KW PSP Kraków,101697,1,5,0,7392,4033,11,1557,1,5,966494837,967,4,0,MAŁOPOLSKIE,gorlicki,0607001,21.16583333,49.67083333
146,0601001,JRG nr 1 Kraków,KM PSP Kraków,KW PSP Kraków,72937,2,5,1,16121,8960,15,2031,4,15,12929906,13,2,0,MAŁOPOLSKIE,Kraków,0601001,19.94375556,50.05975556
147,0601003,JRG nr 3 Kraków,KM PSP Kraków,KW PSP Kraków,169337,3,3,1,7459,3870,13,3137,5,13,389257202,390,3,0,MAŁOPOLSKIE,Kraków,0601003,19.88723056,50.07568056
148,0601004,JRG nr 4 Kraków,KM PSP Kraków,KW PSP Kraków,55407,0,0,0,0,0,12,1142,4,17,93923838,94,0,0,MAŁOPOLSKIE,Kraków,0601004,20.00570833,50.03761944
149,0601005,JRG nr 5 Kraków,KM PSP Kraków,KW PSP Kraków,122954,2,5,0,11024,4955,13,2375,1,12,274526640,275,3,0,MAŁOPOLSKIE,Kraków,0601005,19.92011111,50.09175278
150,0601006,JRG nr 6 Kraków,KM PSP Kraków,KW PSP Kraków,103937,3,2,0,6546,3911,17,1325,10,9,31640463,32,1,0,MAŁOPOLSKIE,Kraków,0601006,20.0158,50.01605833
