fid,Nr_ID_JRG,Nazwa_jednostki,Nazwa_komendy_P-M,Nazwa_komendy_KW,Populacja,Liczba_SOR_w_OCH,l_karetek_p,l_karetek_s,l_wyjazdow_PRM,l_obs_pacjetnow_PRM,Liczba_strazakow_na_zm,liczba_zdarzen,liczba_rat_PRM,Liczba_pojazdow,pow_ob_ch,pow_ob_ch_km_kw,Liczba_dyspozytorni,Priorytet_KW,Wojewodztwo,Powiat,ID_JRG_PRIO,Long,Lat
220,0809001,JRG Głuchołazy,KP PSP Nysa,KW PSP Opole,21155,1,1,0,1998,769,7,344,6,8,161487294,162,1,0,OPOLSKIE,nyski,0809001,17.38855833,50.32055833
221,0803002,JRG Grodków,KP PSP Brzeg,KW PSP Opole,23299,0,1,0,1672,792,7,376,0,9,399033955,400,1,0,OPOLSKIE,brzeski,0803002,17.38064167,50.69834722
222,0806001,JRG Kluczbork,KP PSP Kluczbork,KW PSP Opole,59826,0,3,1,5093,2420,8,631,6,16,896217339,897,3,0,OPOLSKIE,kluczborski,0806001,18.21638889,50.97555556
223,0807001,JRG Krapkowice,KP PSP Krapkowice,KW PSP Opole,57654,1,2,1,4682,2145,8,568,4,9,450413074,451,2,0,OPOLSKIE,krapkowicki,0807001,17.97511111,50.48661111
224,0808001,JRG Namysłów,KP PSP Namysłów,KW PSP Opole,43876,1,1,1,3140,1630,8,644,5,8,814679682,815,2,0,OPOLSKIE,namysłowski,0808001,17.72060556,51.07753333
225,0802001,JRG nr 3 Niemodlin,KM PSP Opole,KW PSP Opole,23411,0,1,0,1798,726,8,400,4,12,418575219,419,1,0,OPOLSKIE,opolski,0802001,17.61834167,50.64084722
226,0809002,JRG Nysa,KP PSP Nysa,KW PSP Opole,80967,1,3,1,8388,3751,11,1047,2,12,722664685,723,2,0,OPOLSKIE,nyski,0809002,17.32928889,50.47271944
227,0810001,JRG Olesno,KP PSP Olesno,KW PSP Opole,57107,1,2,1,3949,2063,8,905,3,8,969658231,970,3,0,OPOLSKIE,oleski,0810001,18.41858056,50.87621389
228,0809003,JRG Paczków,KP PSP Nysa,KW PSP Opole,16544,0,1,0,1615,575,7,291,1,8,178224201,179,1,0,OPOLSKIE,nyski,0809003,17.00620833,50.46051944
229,0811001,JRG Prudnik,KP PSP Prudnik,KW PSP Opole,47787,2,2,1,4632,2247,8,444,2,10,518449945,519,2,0,OPOLSKIE,prudnicki,0811001,17.56737778,50.31780556
230,0812001,JRG Strzelce Opolskie,KP PSP Strzelce Opolskie,KW PSP Opole,67547,1,2,1,4998,2282,8,596,5,11,721009947,722,2,0,OPOLSKIE,strzelecki,0812001,18.31124167,50.51876667
231,0925001,JRG Lesko,KP PSP Lesko,KW PSP Rzeszów,26724,1,5,1,340,7374,7,587,1,7,826410822,827,6,0,PODKARPACKIE,leski,0925001,22.32388889,49.475
232,0924002,JRG Ustrzyki Dolne,KP PSP w Ustrzykach Dolnych,KW PSP Rzeszów,20069,0,3,0,2410,1112,7,858,1,7,1157524097,1158,2,0,PODKARPACKIE,bieszczadzki,0924002,22.58636944,49.42973611
233,0903001,JRG Brzozów,KP PSP Brzozów,KW PSP Rzeszów,52865,1,2,0,3131,1804,7,1058,0,11,405560405,406,1,0,PODKARPACKIE,brzozowski,0903001,22.02277778,49.69677778
234,0906001,JRG Jasło,KP PSP Jasło,KW PSP Rzeszów,113067,1,3,1,7232,4648,11,698,2,14,923007425,924,2,0,PODKARPACKIE,jasielski,0906001,21.46457222,49.74690833
235,0921001,JRG Strzyżów,KP PSP Strzyżów,KW PSP Rzeszów,54318,1,2,0,3278,1953,7,706,1,5,497442687,498,1,0,PODKARPACKIE,strzyżowski,0921001,21.77361667,49.87682778
236,0901002P1,PJRG Dynów,KM PSP Rzeszów,KW PSP Rzeszów,39731,1,3,0,3249,1194,0,0,0,0,663331571,664,3,0,0,0,0,0,0
237,0915001,JRG Przemyśl,KM PSP Przemyśl,KW PSP Rzeszów,111020,4,5,1,9924,1106,20,1767,0,17,973109848,974,4,0,PODKARPACKIE,przemyski,0915001,22.77777778,49.78722222
238,0901002,JRG nr 2 Rzeszów,KM PSP Rzeszów,KW PSP Rzeszów,141616,2,5,1,11485,5815,8,798,0,6,415339110,416,4,0,PODKARPACKIE,Rzeszów,0901002,21.99108333,50.01732222
239,0904002,JRG nr 2 Dębica,KP PSP Dębica,KW PSP Rzeszów,48425,0,3,1,7035,3204,7,472,0,13,375005879,376,2,0,PODKARPACKIE,dębicki,0904002,21.38391389,50.04170833
240,0904001,JRG nr 1 Dębica,KP PSP Dębica,KW PSP Rzeszów,69812,1,1,0,1436,622,7,481,1,10,289136601,290,1,0,PODKARPACKIE,dębicki,0904001,21.42036944,50.04918056
241,0918001,JRG Ropczyce,KP PSP Ropczyce,KW PSP Rzeszów,70191,1,2,1,4269,2189,7,933,0,7,548313220,549,1,0,PODKARPACKIE,ropczycko-sędziszowski,0918001,21.61186111,50.05161111
242,0912001,JRG Łańcut,KP PSP Łańcut,KW PSP Rzeszów,85419,1,2,1,5166,3299,8,972,0,8,507547240,508,2,0,PODKARPACKIE,łańcucki,0912001,22.23351944,50.07789444
243,0901001,JRG nr 1 Rzeszów,KM PSP Rzeszów,KW PSP Rzeszów,175045,1,4,1,11599,7210,22,1517,4,16,435516765,436,3,0,PODKARPACKIE,Rzeszów,0901001,21.995825,50.03643333
244,0910001,JRG Leżajsk,KP PSP Leżajsk,KW PSP Rzeszów,43146,1,1,1,2101,2101,8,492,0,9,390488185,391,1,0,PODKARPACKIE,leżajski,0910001,22.41574444,50.26318611
245,0913001,JRG 1 Mielec,KP PSP Mielec,KW PSP Rzeszów,85479,0,1,0,1372,573,9,806,1,6,544252994,545,1,0,PODKARPACKIE,mielecki,0913001,21.42418333,50.29246667
246,0907001,JRG Kolbuszowa,KP PSP Kolbuszowa,KW PSP Rzeszów,48868,1,0,0,0,0,7,694,1,5,628923510,629,0,0,PODKARPACKIE,kolbuszowski,0907001,21.77673056,50.24320833
247,0911001,JRG Lubaczów,KP PSP Lubaczów,KW PSP Rzeszów,50015,1,3,1,3917,2961,7,1111,0,9,1293793230,1294,3,0,PODKARPACKIE,lubaczowski,0911001,23.13312778,50.15005556
248,0913002,JRG 2 Mielec,KP PSP Mielec,KW PSP Rzeszów,41438,2,4,1,9203,5518,8,491,3,9,352583974,353,3,0,PODKARPACKIE,mielecki,0913002,21.45885556,50.30691389
249,0910002,JRG Nowa Sarzyna,KP PSP Leżajsk,KW PSP Rzeszów,42856,0,2,0,2191,1418,9,344,2,9,541751849,542,2,0,PODKARPACKIE,leżajski,0910002,22.33324167,50.32859167
250,0923001,JRG Nowa Dęba,KM PSP Tarnobrzeg,KW PSP Rzeszów,24827,1,2,0,2183,1069,7,168,0,9,356656855,357,1,0,PODKARPACKIE,tarnobrzeski,0923001,21.73041944,50.41512222
251,0914001,JRG Nisko,KP PSP Nisko,KW PSP Rzeszów,49978,1,2,0,2823,1519,7,408,5,9,565760315,566,2,0,PODKARPACKIE,niżański,0914001,22.14744444,50.49838889
252,0920002,JRG nr 2 Stalowa Wola,KP PSP Stalowa Wola,KW PSP Rzeszów,15124,0,0,0,0,0,7,457,0,5,281247342,282,0,0,PODKARPACKIE,stalowowolski,0920002,22.04651667,50.5557
253,0922001,JRG Tarnobrzeg,KM PSP Tarnobrzeg,KW PSP Rzeszów,68728,1,3,0,6134,3645,11,608,1,15,397644732,398,2,0,PODKARPACKIE,Tarnobrzeg,0922001,21.67349167,50.57107778
254,1601001,JRG nr 1 Szczecin,KM PSP Szczecin,KW PSP Szczecin,155248,3,7,1,30861,18146,13,1801,3,5,148368980,149,1,1,ZACHODNIOPOMORSKIE,Szczecin,1601001,14.55326111,53.42539444
255,1601004,JRG nr 4 Szczecin,KM PSP Szczecin,KW PSP Szczecin,14304,0,0,0,0,0,7,226,0,4,62660420,63,0,0,ZACHODNIOPOMORSKIE,Szczecin,1601004,14.61429444,53.50107222
256,1601005,JRG nr 5 Szczecin,KM PSP Szczecin,KW PSP Szczecin,85127,0,3,0,10232,6512,8,675,1,5,51579033,52,1,0,ZACHODNIOPOMORSKIE,Szczecin,1601005,14.57439167,53.44099722
257,1602001,JRG Białogard,KP PSP Białogard,KW PSP Szczecin,49267,1,1,1,4629,2424,7,568,1,5,1138905614,1139,1,0,ZACHODNIOPOMORSKIE,białogardzki,1602001,15.99534167,53.99811389
258,1603001,JRG Choszczno,KP PSP Choszczno,KW PSP Szczecin,54493,2,2,0,3081,1469,7,599,0,6,1770169484,1771,1,0,ZACHODNIOPOMORSKIE,choszczeński,1603001,15.41922222,53.16636389
259,1607001,JRG Gryfino,KP PSP Gryfino,KW PSP Szczecin,39250,1,2,0,2946,1514,10,2186,1,12,701090849,702,1,6,ZACHODNIOPOMORSKIE,gryfiński,1607001,14.48978611,53.24955278
260,1608002,PJRG Międzyzdroje,KP PSP Kamień Pomorski,KW PSP Szczecin,16464,0,3,0,4579,1615,4,304,1,4,414738926,415,1,0,0,0,0,0,0
261,1609001,JRG Kołobrzeg,KP PSP Kołobrzeg,KW PSP Szczecin,72518,1,3,1,9321,5882,9,1151,3,14,625816929,626,2,21,ZACHODNIOPOMORSKIE,kołobrzeski,1609001,15.55264722,54.16807778
262,1610001,JRG nr 1 Koszalin,KM PSP Koszalin,KW PSP Szczecin,124890,2,5,1,16174,9596,9,972,1,11,711715704,712,2,0,ZACHODNIOPOMORSKIE,Koszalin,1610001,16.19132778,54.19662222
263,1610002,JRG nr 2 Koszalin,KM PSP Koszalin,KW PSP Szczecin,28711,1,0,0,0,0,13,918,1,10,589768256,590,0,2,ZACHODNIOPOMORSKIE,Koszalin,1610002,16.19301111,54.17504722
264,1612002,JRG Myślibórz,KP PSP Myślibórz,KW PSP Szczecin,36270,1,2,0,3348,1214,6,431,1,8,1085596636,1086,2,0,ZACHODNIOPOMORSKIE,myśliborski,1612002,14.87296944,52.92559722
265,1613001,JRG Police,KP PSP Police,KW PSP Szczecin,41137,1,2,0,4678,2663,0,0,0,0,492711024,493,1,0,ZACHODNIOPOMORSKIE,policki,1613001,14.55762778,53.55145278
266,1614001,JRG Pyrzyce,KP PSP Pyrzyce,KW PSP Szczecin,35199,1,2,0,3535,1805,7,771,1,4,810242012,811,1,16,ZACHODNIOPOMORSKIE,pyrzycki,1614001,14.89194167,53.15026944
267,1615001,PJRG Darłowo,KP PSP Sławno,KW PSP Szczecin,22747,0,1,0,2514,1252,5,362,0,4,369770944,370,1,0,0,0,0,0,0
268,1616002,JRG Stargard,KP PSP Stargard,KW PSP Szczecin,98772,2,5,1,13138,6303,15,1175,8,12,876204346,877,1,4,ZACHODNIOPOMORSKIE,stargardzki,1616002,15.03780833,53.33345833
269,1618001,JRG Świdwin,KP PSP Świdwin,KW PSP Szczecin,40740,1,2,0,3891,1916,7,1065,0,8,988010167,989,2,13,ZACHODNIOPOMORSKIE,świdwiński,1618001,15.78040833,53.78511667
270,1619001,JRG Nr 1 Świnoujście,KM PSP Świnoujście,KW PSP Szczecin,34467,1,1,1,2437,2437,7,776,0,5,77755651,78,1,0,ZACHODNIOPOMORSKIE,Świnoujście,1619001,14.24531111,53.91030833
271,1619002,JRG Nr 2 Świnoujście,KM PSP Świnoujście,KW PSP Szczecin,5185,0,0,0,0,0,6,310,2,9,117012596,118,0,3,ZACHODNIOPOMORSKIE,Świnoujście,1619002,14.29551667,53.90208056
272,1620001,JRG Wałcz,KP PSP Wałcz,KW PSP Szczecin,49136,1,2,1,2476,1863,7,1130,0,9,1630958540,1631,2,18,ZACHODNIOPOMORSKIE,wałecki,1620001,16.46070556,53.26316389
273,1621001,JRG Łobez,KP PSP Łobez,KW PSP Szczecin,27647,0,2,1,4572,1954,7,532,2,6,792508442,793,2,19,ZACHODNIOPOMORSKIE,łobeski,1621001,15.61958333,53.64452778
274,0215001,JRG Radziejów,KP PSP Radziejów,KW PSP Toruń,46082,0,2,0,2772,1468,8,1015,1,5,804699043,805,2,0,KUJAWSKO-POMORSKIE,radziejowski,0215001,18.51466111,52.61480833
275,0211002,JRG 2 Inowrocław,KP PSP Inowrocław,KW PSP Toruń,75726,0,0,0,0,0,7,779,0,6,622799188,623,0,0,KUJAWSKO-POMORSKIE,inowrocławski,0211002,18.27261389,52.80496389
276,0220001,JRG Wąbrzeźno,KP PSP Wąbrzeźno,KW PSP Toruń,37213,1,3,0,4574,2035,7,487,0,9,608056050,609,3,0,KUJAWSKO-POMORSKIE,wąbrzeski,0220001,18.971525,53.27203056
277,0204001,JRG Brodnica,KP PSP Brodnica,KW PSP Toruń,72280,1,4,0,6950,3281,9,901,2,5,961126998,962,3,0,KUJAWSKO-POMORSKIE,brodnicki,0204001,19.39594444,53.25869444
278,0218001,JRG Świecie,KP PSP Świecie,KW PSP Toruń,87014,1,5,1,9103,4781,10,666,8,9,1283111910,1284,2,0,KUJAWSKO-POMORSKIE,świecki,0218001,18.46586944,53.41263889
279,0212001,JRG Lipno,KP PSP Lipno,KW PSP Toruń,64065,1,0,0,0,0,8,1301,1,6,1131019181,1132,0,0,KUJAWSKO-POMORSKIE,lipnowski,0212001,19.17155278,52.85230833
280,0209001,JRG nr 1 Grudziądz,KM PSP Grudziądz,KW PSP Toruń,77930,0,2,1,6397,2432,10,1157,2,7,574912978,575,2,0,KUJAWSKO-POMORSKIE,grudziądzki,0209001,18.75763611,53.49043333
281,0207001,JRG Chełmno,KP PSP Chełmno,KW PSP Toruń,43982,0,2,0,1903,3083,7,561,2,5,446776682,447,1,0,KUJAWSKO-POMORSKIE,chełmiński,0207001,18.44889167,53.35138889
282,0208001,JRG Golub-Dobrzyń,KP PSP Golub-Dobrzyń,KW PSP Toruń,43347,0,1,1,3314,1538,7,1059,3,11,625052314,626,2,0,KUJAWSKO-POMORSKIE,golubsko-dobrzyński,0208001,19.04841944,53.09805278
283,0201001,JRG nr 1 Toruń,KM PSP Toruń,KW PSP Toruń,130803,1,13,2,42940,21960,13,1989,4,11,290144294,291,3,0,KUJAWSKO-POMORSKIE,Toruń,0201001,18.60251667,53.02511667
284,0205003,JRG nr 3 Bydgoszcz,KM PSP Bydgoszcz,KW PSP Toruń,84743,3,3,2,10301,5203,10,967,0,9,390314967,391,2,0,KUJAWSKO-POMORSKIE,Bydgoszcz,0205003,17.98802778,53.13867222
285,0214001,JRG Nakło nad Notecią,KP PSP NAKŁO nad Notecią,KW PSP Toruń,61325,2,2,1,4642,2388,7,500,5,10,807683716,808,3,0,KUJAWSKO-POMORSKIE,nakielski,0214001,17.59388889,53.13805556
286,0203001,JRG Aleksandrów Kujawski,KP PSP Aleksandrów Kujawski,KW PSP Toruń,32912,1,2,0,2927,1531,14,888,4,8,392433282,393,2,0,KUJAWSKO-POMORSKIE,aleksandrowski,0203001,18.70753611,52.86463889
287,0221001,JRG nr 1 Włocławek,KM PSP Włocławek,KW PSP Toruń,113151,1,8,1,19581,10309,16,277,1,11,792024284,793,1,0,KUJAWSKO-POMORSKIE,Włocławek,0221001,19.04426389,52.6588
288,0213001,JRG Mogilno,KP PSP Mogilno,KW PSP Toruń,48083,0,2,0,3241,2450,7,1115,6,9,831352111,832,1,0,KUJAWSKO-POMORSKIE,mogileński,0213001,17.95583333,52.65888889
289,0217001,JRG Sępólno Krajeńskie,KP PSP Sępólno Krajenskie,KW PSP Toruń,37429,1,2,1,3119,1690,7,555,1,7,793134979,794,3,0,KUJAWSKO-POMORSKIE,sępoleński,0217001,17.52804722,53.44778333
290,0219001,JRG Tuchola,KP PSP Tuchola,KW PSP Toruń,50704,0,3,0,3426,2163,7,810,2,9,1300008796,1301,3,0,KUJAWSKO-POMORSKIE,tucholski,0219001,17.85667778,53.58729167
291,0223001,JRG Żnin,KP PSP Żnin,KW PSP Toruń,65214,1,3,0,5564,2738,7,1815,3,6,956279618,957,3,0,KUJAWSKO-POMORSKIE,żniński,0223001,17.72266667,52.85056667
292,0221002,JRG nr 2 Włocławek,KM PSP Włocławek,KW PSP Toruń,62038,0,0,0,0,0,48,205,1,6,612318976,613,0,0,KUJAWSKO-POMORSKIE,Włocławek,0221002,19.09347778,52.65548056
293,0209002,JRG nr 2 Grudziądz,KM PSP Grudziądz,KW PSP Toruń,47233,1,2,0,7411,3219,7,707,0,5,203917518,204,2,0,KUJAWSKO-POMORSKIE,Grudziądz,0209002,18.72861111,53.45527778
294,0203002,JRG Ciechocinek,KP PSP Aleksandrów Kujawski,KW PSP Toruń,19248,0,2,0,2737,1548,6,404,2,4,105254285,106,2,0,KUJAWSKO-POMORSKIE,aleksandrowski,0203002,18.78675278,52.878575
295,0201003,JRG nr 3 Toruń,KM PSP Toruń,KW PSP Toruń,100064,0,3,0,8440,4261,10,1612,0,7,351043254,352,2,0,KUJAWSKO-POMORSKIE,Toruń,0201003,18.68902778,53.03102222
296,0202001,JRG Chełmża,KM PSP Toruń,KW PSP Toruń,33700,0,2,0,3781,1938,8,468,1,5,337192314,338,2,0,KUJAWSKO-POMORSKIE,toruński,0202001,18.60903611,53.18460278
297,0201002,JRG nr 2 Toruń,KM PSP Toruń,KW PSP Toruń,31492,0,2,0,4455,2349,7,805,0,5,290113441,291,2,0,KUJAWSKO-POMORSKIE,Toruń,0201002,18.59157222,52.99094444
298,0214002,JRG Szubin,KP PSP NAKŁO nad Notecią,KW PSP Toruń,35047,1,2,0,3262,1648,7,453,5,16,564856273,565,2,0,KUJAWSKO-POMORSKIE,nakielski,0214002,17.7225,52.99833333
299,0211001,JRG 1 Inowrocław,KP PSP Inowrocław,KW PSP Toruń,73061,2,5,1,16384,8234,10,875,1,11,520793326,521,1,0,KUJAWSKO-POMORSKIE,inowrocławski,0211001,18.25828333,52.78008333
300,0205056,JRG SP PSP Bydgoszcz,KM PSP Bydgoszcz,KW PSP Toruń,95271,2,4,1,13731,7307,8,820,1,9,344062785,345,3,0,KUJAWSKO-POMORSKIE,Bydgoszcz,0205056,18.03321111,53.10031944
301,0205002,JRG nr 2 Bydgoszcz,KM PSP Bydgoszcz,KW PSP Toruń,93575,0,5,2,13440,8494,11,672,2,15,380602287,381,3,0,KUJAWSKO-POMORSKIE,Bydgoszcz,0205002,18.15915,53.14881667
302,0205004,JRG nr 4 Bydgoszcz,KM PSP Bydgoszcz,KW PSP Toruń,41555,0,1,0,3116,1629,8,389,2,3,234189521,235,1,0,KUJAWSKO-POMORSKIE,bydgoski,0205004,17.89833056,53.12521667
303,0205001,JRG nr 1 Bydgoszcz,KM PSP Bydgoszcz,KW PSP Toruń,134633,1,5,0,16449,9019,13,1739,2,12,27581115,28,2,0,KUJAWSKO-POMORSKIE,Bydgoszcz,0205001,18.00333611,53.12873056
304,0742001,JRG Żyrardów,KP PSP Żyrardów,KW PSP Warszawa,77528,1,2,1,7958,3770,10,1490,0,13,508751688,509,2,0,MAZOWIECKIE,żyrardowski,0742001,20.43355833,52.059675
305,0703001,JRG Białobrzegi,KP PSP Białobrzegi,KW PSP Warszawa,37775,0,1,1,1992,1110,7,813,1,9,764654500,765,1,0,MAZOWIECKIE,białobrzeski,0703001,20.95576389,51.6444
306,0704001,JRG Ciechanów,KP PSP Ciechanów,KW PSP Warszawa,83912,1,3,1,5580,2459,13,962,5,15,1036236497,1037,3,0,MAZOWIECKIE,ciechanowski,0704001,20.59888889,52.86888889
307,0705001,JRG Garwolin,KP PSP Garwolin,KW PSP Warszawa,101672,1,4,1,2905,1151,8,810,5,17,1198979952,1199,3,0,MAZOWIECKIE,garwoliński,0705001,21.61657222,51.89158333
308,0706001,JRG Gostynin,KP PSP Gostynin,KW PSP Warszawa,40900,1,1,1,3326,1914,7,487,3,10,620281074,621,1,0,MAZOWIECKIE,gostyniński,0706001,19.46516667,52.44004722
309,0707001,JRG Grodzisk Mazowiecki,KP PSP Grodzisk Mazowiecki,KW PSP Warszawa,98550,1,2,0,456,578,9,1038,3,9,367123303,368,2,0,MAZOWIECKIE,grodziski,0707001,20.62372222,52.11376944
310,0708001,JRG Grójec,KP PSP Grójec,KW PSP Warszawa,101432,1,4,1,9195,4348,7,1135,2,15,1203278780,1204,4,0,MAZOWIECKIE,grójecki,0708001,20.86266944,51.87071111
311,0709001,JRG Kozienice,KP PSP Kozienice,KW PSP Warszawa,46995,1,2,1,3336,1854,8,804,1,6,752725222,753,3,0,MAZOWIECKIE,kozienicki,0709001,21.54861944,51.58280833
312,0710001,JRG Legionowo,KP PSP Legionowo,KW PSP Warszawa,125228,0,3,1,9543,4223,10,1326,4,12,349653850,350,4,0,MAZOWIECKIE,legionowski,0710001,20.91643333,52.40865556
313,0712001,JRG Łosice,KP PSP Łosice,KW PSP Warszawa,30097,0,1,1,2656,1619,7,704,4,8,802032457,803,2,0,MAZOWIECKIE,łosicki,0712001,22.71061111,52.21517778
314,0713001,JRG Maków Mazowiecki,KP PSP Maków Mazowiecki,KW PSP Warszawa,40710,0,3,0,4666,2538,10,938,1,11,996666592,997,3,0,MAZOWIECKIE,makowski,0713001,21.09956944,52.86341944
315,0714001,JRG Mińsk Mazowiecki,KP PSP Mińsk Mazowiecki,KW PSP Warszawa,126020,2,3,1,9257,5892,11,908,1,13,1113186492,1114,3,0,MAZOWIECKIE,miński,0714001,21.56328056,52.18091111
316,0715001,JRG Mława,KP PSP Mława,KW PSP Warszawa,64126,2,0,0,0,0,9,872,3,10,1018846524,1019,0,0,MAZOWIECKIE,mławski,0715001,20.38417778,53.11369167
317,0716001,JRG Nowy Dwór Mazowiecki,KP PSP Nowy Dwór Mazowiecki,KW PSP Warszawa,82566,1,3,1,8533,3273,9,956,4,17,714312757,715,4,0,MAZOWIECKIE,nowodworski,0716001,20.74051667,52.43185556
318,0720001,JRG Otwock,KP PSP Otwock,KW PSP Warszawa,120850,1,2,1,8244,4990,14,2262,2,17,558260021,559,2,0,MAZOWIECKIE,otwocki,0720001,21.23545278,52.105775
319,0721001,JRG Piaseczno,KP PSP Piaseczno,KW PSP Warszawa,199345,3,5,0,13453,6608,12,1764,1,17,534539153,535,4,0,MAZOWIECKIE,piaseczyński,0721001,21.03468889,52.06735
320,0722001,JRG nr 1 Płock,KM PSP Płock,KW PSP Warszawa,121021,1,4,2,11803,6628,15,1221,1,19,787416058,788,4,0,MAZOWIECKIE,Płock,0722001,19.69750833,52.56146944
321,0722002,JRG nr 2 Płock,KM PSP Płock,KW PSP Warszawa,30596,0,1,0,1549,1025,7,303,2,12,483515973,484,1,0,MAZOWIECKIE,Płock,0722002,19.67782778,52.52909722
322,0722003,JRG nr 3 Płock,KM PSP Płock,KW PSP Warszawa,67321,0,2,0,4026,2382,7,590,1,8,550245479,551,2,0,MAZOWIECKIE,Płock,0722003,19.74893889,52.54381944
323,0724001,JRG Płońsk,KP PSP Płońsk,KW PSP Warszawa,84993,1,3,1,7397,3267,9,814,1,10,1419169974,1420,3,0,MAZOWIECKIE,płoński,0724001,20.37948333,52.63077778
324,0725001,JRG Pruszków,KP PSP Pruszków,KW PSP Warszawa,177533,0,4,1,13069,6373,14,1348,2,17,237946020,238,3,0,MAZOWIECKIE,pruszkowski,0725001,20.79011667,52.16433333
325,0726001,JRG Przasnysz,KP PSP Przasnysz,KW PSP Warszawa,52280,2,3,0,1094,654,7,486,2,15,1327395213,1328,3,0,MAZOWIECKIE,przasnyski,0726001,20.89488889,53.02138889
326,0727001,JRG Przysucha,KP PSP Przysucha,KW PSP Warszawa,40972,1,0,1,1438,656,7,559,1,11,883766553,884,1,0,MAZOWIECKIE,przysuski,0727001,20.62388889,51.35913889
327,0728001,JRG Pułtusk,KP PSP Pułtusk,KW PSP Warszawa,54438,1,2,0,885,476,8,562,0,11,894190296,895,1,0,MAZOWIECKIE,pułtuski,0728001,21.08613889,52.6986
328,0729001,JRG nr 1 Radom,KM PSP Radom,KW PSP Warszawa,126246,1,5,1,14372,10060,14,1635,3,9,412288207,413,3,0,MAZOWIECKIE,Radom,0729001,21.14869444,51.39955556
329,0729002,JRG nr 2 Radom,KM PSP Radom,KW PSP Warszawa,95449,1,3,1,7715,5175,12,1364,2,13,371558633,372,3,0,MAZOWIECKIE,Radom,0729002,21.18885556,51.42044167
330,0729003,JRG nr 3 Radom,KM PSP Radom,KW PSP Warszawa,72338,1,5,0,8381,5254,9,489,1,10,297776149,298,4,0,MAZOWIECKIE,Radom,0729003,21.10861111,51.35888889
331,0730001,JRG nr 4 Pionki,KM PSP Radom,KW PSP Warszawa,35354,1,1,1,3588,2262,8,282,0,10,328800433,329,2,0,MAZOWIECKIE,radomski,0730001,21.43844444,51.46701944
332,0731001,JRG nr 1 Siedlce,KM PSP Siedlce,KW PSP Warszawa,93904,1,4,1,10354,6715,12,1085,0,9,884826765,885,3,0,MAZOWIECKIE,Siedlce,0731001,22.27927222,52.17587222
333,0731002,JRG nr 2 Siedlce,KM PSP Siedlce,KW PSP Warszawa,55064,0,2,0,3597,2380,9,729,1,5,563005503,564,2,0,MAZOWIECKIE,Siedlce,0731002,22.28043333,52.15616111
334,0733001,JRG Sierpc,KP PSP Sierpc,KW PSP Warszawa,48497,0,1,1,3514,1562,7,514,1,9,852032709,853,1,0,MAZOWIECKIE,sierpecki,0733001,19.67173333,52.84130278
335,0734001,JRG Sochaczew,KP PSP Sochaczew,KW PSP Warszawa,86251,1,3,0,6840,3673,10,1097,2,10,788865923,789,2,0,MAZOWIECKIE,sochaczewski,0734001,20.23870278,52.23111111
336,0735001,JRG Sokołów Podlaski,KP PSP Sokołów Podlaski,KW PSP Warszawa,51310,1,2,1,4295,2815,8,616,0,13,1130917139,1131,2,0,MAZOWIECKIE,sokołowski,0735001,22.22966667,52.41441667
337,0736001,JRG Szydłowiec,KP PSP Szydłowiec,KW PSP Warszawa,34690,0,2,0,2369,1600,7,638,2,12,440140998,441,2,0,MAZOWIECKIE,szydłowiecki,0736001,20.86138889,51.22444444
338,1017001,JRG Zambrów,KP PSP Zambrów,KW PSP Białystok,42891,1,1,1,2866,1923,7,435,2,11,826081805,827,1,0,PODLASKIE,zambrowski,1017001,22.24250278,52.98717222
339,1010001,JRG Mońki,KP PSP Mońki,KW PSP Białystok,34407,0,1,1,1974,1025,7,346,0,10,1204619779,1205,1,14,PODLASKIE,moniecki,1010001,22.80180556,53.40172222
340,1011001,JRG Sejny,KP PSP Sejny,KW PSP Białystok,18176,0,1,1,1260,1013,0,0,0,0,855155931,856,1,0,PODLASKIE,sejneński,1011001,23.35135556,54.10716111
341,1003001,JRG Augustów,KP PSP Augustów,KW PSP Białystok,48573,1,1,1,3388,1937,9,411,2,14,1470481877,1471,1,4,PODLASKIE,augustowski,1003001,22.99016389,53.83917778
342,1014002,JRG nr 2 Suwałki,KM PSP Suwałki,KW PSP Białystok,51954,1,1,0,634,386,7,639,5,13,708632374,709,1,6,PODLASKIE,Suwałki,1014002,22.93481944,54.11823611
343,1005001,JRG Grajewo,KP PSP Grajewo,KW PSP Białystok,47704,1,1,1,2494,1800,8,472,2,17,1285897245,1286,1,5,PODLASKIE,grajewski,1005001,22.46972222,53.63977778
344,1013002,JRG Sokółka,KP PSP Sokółka,KW PSP Białystok,63532,1,6,1,5854,3891,12,736,0,14,2299099706,2300,6,8,PODLASKIE,sokólski,1013002,23.49694444,53.40455556
345,1001001,JRG nr 1 Białystok,KM PSP Białystok,KW PSP Białystok,77506,3,4,2,12315,6160,11,966,0,17,11627968,12,1,0,PODLASKIE,Białystok,1001001,23.1675,53.13611111
346,1001004,JRG nr 4 Białystok,KM PSP Białystok,KW PSP Białystok,94842,0,1,1,4982,3154,9,851,2,8,218709751,219,1,0,PODLASKIE,Białystok,1001004,23.12361111,53.11222222
347,1001003,JRG nr 3 Białystok,KM PSP Białystok,KW PSP Białystok,94537,0,2,0,3216,2015,7,573,0,5,596534638,597,2,2,PODLASKIE,Białystok,1001003,23.08444444,53.15722222
